GIORNO,DATA,POSITIVI,DIMESSI,DECEDUTI,CASI TOTALI,Rtnazionale,P.TamponiPos,Posti no ICU,P.Posti.ICU,,V-1,V-7,V-1,V-7,V-1,V-7,V-1,V-7,M-7,V-1,V-7,V-1,V-7,V-7,V-1
0,24/02/2020,221,1,7,229,#N/D,"0,00%","0,16%","0,30%",,0,,0,,0,,0,,,0,,"0,00%",,,
1,25/02/2020,311,1,10,322,#N/D,"2,16%","0,18%","0,40%",,90,,0,,3,,93,,,"0,02%",,"0,10%",,,"2,16%"
2,26/02/2020,385,3,12,400,#N/D,"8,09%","0,20%","0,41%",,74,,2,,2,,78,,,"0,02%",,"0,01%",,,"5,93%"
3,27/02/2020,588,45,17,650,#N/D,"10,30%","0,40%","0,64%",,203,,42,,5,,250,,,"0,19%",,"0,23%",,,"2,21%"
4,28/02/2020,821,46,21,888,#N/D,"6,47%","0,55%","0,73%",,233,,1,,4,,238,,,"0,16%",,"0,09%",,,"-3,84%"
5,29/02/2020,1049,50,29,1128,#N/D,"8,09%","0,64%","1,19%",,228,,4,,8,,240,,,"0,09%",,"0,47%",,,"1,63%"
6,01/03/2020,1577,83,34,1694,#N/D,"22,95%","1,02%","1,59%",,528,334,33,21,5,1,566,357,,"0,38%","0,26%","0,40%","0,21%","14,66%","14,86%"
7,02/03/2020,1835,149,52,2036,#N/D,"15,42%","1,19%","1,89%",,258,27,66,45,18,12,342,84,,"0,16%","0,02%","0,30%","0,07%","4,92%","-7,53%"
8,03/03/2020,2263,160,79,2502,#N/D,"18,56%","1,65%","2,60%",,428,149,11,-12,27,17,466,155,,"0,47%","0,26%","0,72%","0,40%","5,72%","3,14%"
9,04/03/2020,2706,276,107,3089,#N/D,"14,75%","2,15%","3,35%",,443,111,116,77,28,14,587,203,,"0,50%","0,22%","0,75%","0,33%","0,95%","-3,81%"
10,05/03/2020,3296,414,148,3858,#N/D,"30,46%","2,86%","3,99%",,590,203,138,85,41,22,769,311,,"0,71%","0,36%","0,64%","0,16%","13,79%","15,71%"
11,06/03/2020,3916,523,197,4636,#N/D,"19,46%","3,83%","5,25%",,620,178,109,41,49,24,778,243,,"0,97%","0,50%","1,26%","0,61%","0,94%","-10,99%"
12,07/03/2020,5061,589,233,5883,#N/D,"21,87%","4,24%","6,44%",,1145,572,66,-11,36,7,1247,568,,"0,41%","-0,10%","1,19%","0,44%","1,37%","2,40%"
13,08/03/2020,6387,622,366,7375,"1,11","18,95%","5,69%","7,38%",,1326,639,33,-44,133,86,1492,680,"1,11","1,45%","0,78%","0,94%","0,12%","-0,98%","-2,92%"
14,09/03/2020,7985,724,463,9172,"1,10","46,21%","6,90%","8,33%",,1598,719,102,20,97,38,1797,778,"1,11","1,21%","0,40%","0,94%","0,02%","21,89%","27,26%"
15,10/03/2020,8514,1004,631,10149,"1,12","14,09%","8,06%","9,96%",,529,-364,280,159,168,89,977,-115,"1,11","1,15%","0,24%","1,64%","0,58%","-9,59%","-32,12%"
16,11/03/2020,10590,1045,827,12462,"1,11","18,66%","9,33%","11,68%",,2076,950,41,-69,196,93,2313,974,"1,11","1,28%","0,25%","1,72%","0,53%","-5,58%","4,58%"
17,12/03/2020,12839,1258,1016,15113,"1,11","20,62%","10,63%","13,10%",,2249,886,213,92,189,65,2651,1043,"1,11","1,30%","0,19%","1,42%","0,12%","-2,22%","1,96%"
18,13/03/2020,14955,1439,1266,17660,"1,12","22,19%","11,87%","15,08%",,2116,539,181,50,250,97,2547,686,"1,11","1,24%","0,09%","1,99%","0,58%","-1,03%","1,57%"
19,14/03/2020,17750,1966,1441,21157,"1,12","29,93%","13,39%","17,24%",,2795,982,527,330,175,2,3497,1315,"1,11","1,51%","0,21%","2,16%","0,61%","5,56%","7,74%"
