GIORNO,DATA,REGIONE,POSITIVI,DIMESSI,DECEDUTI,CASI TOTALI,Rt,P.TamponiPos,P.PostiNorm.,P.Posti.ICU,,V-1,V-7,V-1,V-7,V-1,V-7,V-1,V-7,M-7,V-1,V-7,V-1,V-7,V-1,V-7
0,24/02/2020,ABRUZZO,0,0,0,0,,"0,00%","0,00%","0,00%",,,,,,,,,,,,,,,"0,00%","0,00%"
0,24/02/2020,BASILICATA,0,0,0,0,"0,44","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,"0,00%","-3,50%"
0,24/02/2020,CALABRIA,0,0,0,0,"3,90","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,"0,00%","-6,24%"
0,24/02/2020,CAMPANIA,0,0,0,0,"3,07","0,00%","0,07%","0,00%",,,,,,,,,,,,,,,"0,00%","-6,52%"
0,24/02/2020,EMILIA ROMAGNA,18,0,0,18,"0,81","12,16%","0,07%","0,00%",,,,,,,,,,,,,,,"12,16%","3,23%"
0,24/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,"0,28","0,00%","0,14%","0,00%",,,,,,,,,,,,,,,"0,00%","-5,18%"
0,24/02/2020,LAZIO,2,1,0,3,"5,07","1,61%","0,20%","0,00%",,,,,,,,,,,,,,,"1,61%","-1,66%"
0,24/02/2020,LIGURIA,0,0,0,0,"0,27","0,00%","0,20%","0,00%",,,,,,,,,,,,,,,"0,00%","-3,03%"
0,24/02/2020,LOMBARDIA,166,0,6,172,"6,91","11,35%","0,34%","0,00%",,,,,,,,,,,,,,,"11,35%","5,79%"
0,24/02/2020,MARCHE,0,0,0,0,"0,16","0,00%","0,47%","0,00%",,,,,,,,,,,,,,,"0,00%","-5,00%"
0,24/02/2020,MOLISE,0,0,0,0,"0,21","0,00%","0,54%","0,00%",,,,,,,,,,,,,,,"0,00%","-6,71%"
0,24/02/2020,BOLZANO,0,0,0,0,"0,94","0,00%","0,61%","0,00%",,,,,,,,,,,,,,,"0,00%","-6,93%"
0,24/02/2020,TRENTO,0,0,0,0,"0,15","0,00%","0,75%","0,00%",,,,,,,,,,,,,,,"0,00%","-5,17%"
0,24/02/2020,PIEMONTE,3,0,0,3,"14,80","2,13%","0,95%","0,00%",,,,,,,,,,,,,,,"2,13%","-4,37%"
0,24/02/2020,PUGLIA,0,0,0,0,"0,96","0,00%","1,69%","0,00%",,,,,,,,,,,,,,,"0,00%","-3,47%"
0,24/02/2020,SARDEGNA,0,0,0,0,"0,42","0,00%","1,15%","4,76%",,,,,,,,,,,,,,,"0,00%","-7,94%"
0,24/02/2020,SICILIA,0,0,0,0,"3,10","0,00%","1,15%","4,76%",,,,,,,,,,,,,,,"0,00%","-2,40%"
0,24/02/2020,TOSCANA,0,0,0,0,"0,77","0,00%","3,18%","6,35%",,,,,,,,,,,,,,,"0,00%","-1,90%"
0,24/02/2020,UMBRIA,0,0,0,0,"1,69","0,00%","2,85%","7,41%",,,,,,,,,,,,,,,"0,00%","-3,54%"
0,24/02/2020,VA.AOSTA,0,0,0,0,"0,15","0,00%","3,46%","7,41%",,,,,,,,,,,,,,,"0,00%","-4,30%"
0,24/02/2020,VENETO,32,0,1,33,"41,65","1,45%","4,88%","14,81%",,,,,,,,,,,,,,,"1,45%","-1,77%"
1,25/02/2020,ABRUZZO,0,0,0,0,,"0,00%","4,81%","19,58%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","0,00%"
1,25/02/2020,BASILICATA,0,0,0,0,"0,44","0,00%","6,37%","16,93%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,77%"
1,25/02/2020,CALABRIA,0,0,0,0,"3,91","0,00%","6,71%","21,69%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-5,20%"
1,25/02/2020,CAMPANIA,0,0,0,0,"3,07","0,00%","12,26%","24,87%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-5,14%"
1,25/02/2020,EMILIA ROMAGNA,26,0,0,26,"0,80","3,29%","12,87%","25,40%",,8,,0,,0,,8,,,"0,08%",,"0,00%",,"-8,87%","-4,89%"
1,25/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,"0,28","0,00%","12,53%","23,28%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,45%"
1,25/02/2020,LAZIO,2,1,0,3,"5,08","0,00%","14,77%","25,93%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"-1,61%","-2,73%"
1,25/02/2020,LIGURIA,1,0,0,1,"0,27","2,63%","15,45%","27,51%",,1,,0,,0,,1,,,"0,06%",,"0,00%",,"2,63%","-0,27%"
1,25/02/2020,LOMBARDIA,231,0,9,240,"6,91","3,04%","15,85%","30,16%",,65,,0,,3,,68,,,"0,03%",,"0,48%",,"-8,31%","-2,28%"
1,25/02/2020,MARCHE,0,0,0,0,"0,16","0,00%","16,80%","31,22%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,21%"
1,25/02/2020,MOLISE,0,0,0,0,"0,21","0,00%","18,97%","33,86%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-5,76%"
1,25/02/2020,BOLZANO,1,0,0,1,"0,87","0,00%","19,58%","37,57%",,1,,0,,0,,1,,,"0,19%",,"0,00%",,"0,00%","-5,90%"
1,25/02/2020,TRENTO,0,0,0,0,"0,15","0,00%","21,07%","37,04%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,29%"
1,25/02/2020,PIEMONTE,3,0,0,3,"14,81","0,00%","22,29%","35,98%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"-2,13%","-5,46%"
1,25/02/2020,PUGLIA,0,0,0,0,"0,94","0,00%","21,82%","36,51%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,02%"
1,25/02/2020,SARDEGNA,0,0,0,0,"0,42","0,00%","22,70%","38,62%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-6,50%"
1,25/02/2020,SICILIA,3,0,0,3,"3,11","0,00%","23,17%","37,57%",,3,,0,,0,,3,,,"0,02%",,"0,00%",,"0,00%","-1,96%"
1,25/02/2020,TOSCANA,2,0,0,2,"0,77","1,28%","23,10%","39,68%",,2,,0,,0,,2,,,"0,04%",,"0,00%",,"1,28%","-0,46%"
1,25/02/2020,UMBRIA,0,0,0,0,"1,69","0,00%","24,46%","40,21%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,99%"
1,25/02/2020,VA.AOSTA,0,0,0,0,"0,15","0,00%","23,98%","37,57%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,71%"
1,25/02/2020,VENETO,42,0,1,43,"41,65","0,63%","23,51%","35,45%",,10,,0,,0,,10,,,"0,00%",,"0,30%",,"-0,82%","-2,19%"
2,26/02/2020,ABRUZZO,0,0,0,0,,"0,00%","23,04%","34,92%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","0,00%"
2,26/02/2020,BASILICATA,0,0,0,0,"0,44","0,00%","22,83%","35,45%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,34%"
2,26/02/2020,CALABRIA,0,0,0,0,"3,92","0,00%","22,43%","32,80%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,83%"
2,26/02/2020,CAMPANIA,0,0,0,0,"3,08","0,00%","20,73%","30,16%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,19%"
2,26/02/2020,EMILIA ROMAGNA,46,0,1,47,"0,79","11,29%","20,66%","28,04%",,20,,0,,1,,21,,,"0,08%",,"0,13%",,"8,00%","2,64%"
2,26/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,"0,28","0,00%","21,34%","28,57%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,33%"
2,26/02/2020,LAZIO,0,3,0,3,"5,08","0,00%","23,44%","28,57%",,-2,,2,,0,,0,,,"-0,02%",,"-0,11%",,"0,00%","-2,18%"
2,26/02/2020,LIGURIA,11,0,0,11,"0,27","37,04%","23,78%","28,57%",,10,,0,,0,,10,,,"0,28%",,"0,00%",,"34,41%","29,34%"
2,26/02/2020,LOMBARDIA,249,0,9,258,"6,91","0,00%","23,37%","27,51%",,18,,0,,0,,18,,,"0,00%",,"0,00%",,"-3,04%","-4,47%"
2,26/02/2020,MARCHE,1,0,0,1,"0,16","14,29%","23,10%","23,28%",,1,,0,,0,,1,,,"0,09%",,"0,00%",,"14,29%","8,97%"
2,26/02/2020,MOLISE,0,0,0,0,"0,21","0,00%","21,95%","22,22%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,60%"
2,26/02/2020,BOLZANO,1,0,0,1,"0,82","0,00%","21,61%","22,75%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,77%"
2,26/02/2020,TRENTO,0,0,0,0,"0,15","0,00%","21,75%","21,69%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,32%"
2,26/02/2020,PIEMONTE,3,0,0,3,"14,81","0,00%","21,48%","21,16%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-4,50%"
2,26/02/2020,PUGLIA,0,0,0,0,"0,93","0,00%","21,68%","20,11%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,31%"
2,26/02/2020,SARDEGNA,0,0,0,0,"0,42","0,00%","21,54%","18,52%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-5,06%"
2,26/02/2020,SICILIA,3,0,0,3,"3,11","0,00%","20,93%","18,52%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-1,45%"
2,26/02/2020,TOSCANA,2,0,0,2,"0,77","0,00%","21,82%","16,40%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"-1,28%","-1,40%"
2,26/02/2020,UMBRIA,0,0,0,0,"1,69","0,00%","22,15%","14,81%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,35%"
2,26/02/2020,VA.AOSTA,0,0,0,0,"0,15","0,00%","21,88%","13,76%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-3,07%"
2,26/02/2020,VENETO,69,0,2,71,"41,66","2,50%","21,95%","12,70%",,27,,0,,1,,28,,,"0,07%",,"0,10%",,"1,87%","-0,39%"
3,27/02/2020,ABRUZZO,1,0,0,1,,"5,00%","22,22%","12,17%",,1,,0,,0,,1,,,"0,07%",,"0,00%",,"5,00%","3,75%"
3,27/02/2020,BASILICATA,0,0,0,0,"0,44","0,00%","21,14%","11,11%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,03%"
3,27/02/2020,CALABRIA,0,0,0,0,"3,92","0,00%","20,93%","10,05%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-2,97%"
3,27/02/2020,CAMPANIA,3,0,0,3,"3,08","0,00%","20,73%","8,47%",,3,,0,,0,,3,,,"0,04%",,"0,00%",,"0,00%","-2,89%"
3,27/02/2020,EMILIA ROMAGNA,96,0,1,97,"0,79","10,96%","20,12%","8,47%",,50,,0,,0,,50,,,"0,26%",,"0,40%",,"-0,33%","2,20%"
3,27/02/2020,FRIULI VENEZIA GIULIA,0,0,0,0,"0,28","0,00%","20,53%","8,47%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-1,68%"
3,27/02/2020,LAZIO,0,3,0,3,"5,08","0,00%","20,33%","8,47%",,0,,0,,0,,0,,,"0,00%",,"0,00%",,"0,00%","-1,65%"
3,27/02/2020,LIGURIA,19,0,0,19,"0,27","66,67%","20,39%","7,94%",,8,,0,,0,,8,,,"0,17%",,"0,00%",,"29,63%","50,14%"
3,27/02/2020,LOMBARDIA,349,40,14,403,"6,91","129,46%","19,58%","5,82%",,100,,40,,5,,145,,,"0,91%",,"1,28%",,"129,46%","107,26%"
3,27/02/2020,MARCHE,3,0,0,3,"0,16","11,11%","19,31%","5,82%",,2,,0,,0,,2,,,"0,09%",,"0,43%",,"-3,17%","5,16%"
